Date,Day,Treatment_ID,System_ID,Crop_ID,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,Temp_C,Solar_Rad_MJ,VPD_kPa,WUE_kg_m3,pH,EC,RZT_C,RZT_Growth_Factor,RZT_Nutrient_Factor,V_Stage,Leaf_Number,Leaf_Area_m2,Avg_Leaf_Area_cm2,CO2_umol_mol,VPD_Actual_kPa,Env_Photo_Factor,Env_Transp_Factor,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L,LAI,Growth_Stage,Total_Biomass_g,Integrated_Stress,Temperature_Stress,Water_Stress,Nutrient_Stress,Nitrogen_Stress,Salinity_Stress
2025-08-27,1,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.06,3.01,0.04,0.04,499.96,25.48,20.35,1.01,0.0,6.0,1.88,27.31,1.09,1.07,4.0,4,0.015,37.5,400.0,1.01,0.92,0.87,200.0,50.0,300.0,150.0,50.0,0.18,V4,0.8,0.17,0.09,0.0,0.0,0.0,0.04
2025-08-28,2,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.32,2.47,0.03,0.04,499.92,22.89,19.23,0.79,1.27,5.99,1.87,26.39,0.93,0.94,4.0,4,0.016,39.52,400.0,0.79,1.0,1.0,199.19,49.97,299.86,149.97,49.99,0.19,V4,0.84,0.11,0.03,0.0,0.0,0.0,0.04
2025-08-29,3,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.91,2.92,0.04,0.05,499.87,24.56,19.24,0.98,1.17,5.99,1.86,27.03,1.04,1.03,5.0,4,0.017,42.22,400.0,0.98,0.94,0.91,196.0,49.83,299.32,149.85,49.95,0.203,V5,0.89,0.12,0.05,0.0,0.0,0.0,0.03
2025-08-30,4,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.37,3.27,0.06,0.07,499.8,24.2,24.66,1.05,0.857,5.98,1.83,27.55,0.95,0.96,5.0,4,0.018,44.74,400.0,1.05,0.88,0.82,191.06,49.62,298.49,149.67,49.88,0.215,V5,0.94,0.12,0.05,0.01,0.0,0.0,0.02
2025-08-31,5,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.1,3.1,0.07,0.09,499.71,25.8,17.47,1.07,0.802,5.98,1.81,28.08,1.06,1.04,5.0,4,0.021,52.73,400.0,1.07,0.87,0.8,184.82,49.36,297.43,149.45,49.8,0.253,V5,1.0,0.18,0.12,0.02,0.0,0.0,0.0
2025-09-01,6,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,5.13,3.87,0.09,0.11,499.6,25.55,23.17,1.31,0.665,5.97,1.77,28.65,0.99,0.99,6.0,4,0.02,50.79,400.0,1.31,0.67,0.51,177.73,49.06,296.23,149.19,49.71,0.244,V6,1.06,0.22,0.11,0.08,0.0,0.0,0.0
2025-09-02,7,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.24,3.25,0.11,0.14,499.46,23.13,19.4,1.08,0.447,5.97,1.74,27.08,0.86,0.89,6.0,4,0.026,64.11,400.0,1.08,0.85,0.78,170.29,48.74,294.97,148.91,49.62,0.308,V6,1.11,0.11,0.04,0.02,0.0,0.0,0.0
2025-09-03,8,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.67,3.67,0.22,0.26,499.2,23.95,18.14,1.24,0.359,6.0,1.88,26.84,1.01,1.01,6.0,4,0.033,83.06,400.0,1.24,0.73,0.59,200.0,50.0,300.0,150.0,50.0,0.399,V6,1.19,0.17,0.04,0.06,0.0,0.0,0.04
2025-09-04,9,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.7,3.61,0.13,0.16,499.04,25.42,20.44,1.22,0.902,5.99,1.83,27.83,1.05,1.04,7.0,4,0.026,64.46,400.0,1.22,0.75,0.62,190.9,49.62,298.46,149.67,49.88,0.309,V7,1.31,0.21,0.1,0.05,0.0,0.0,0.02
2025-09-05,10,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.17,3.28,0.19,0.22,498.81,23.66,20.57,1.04,0.408,5.99,1.79,27.18,0.92,0.94,7.0,4,0.033,83.46,400.0,1.04,0.88,0.83,180.24,49.16,296.66,149.27,49.74,0.401,V7,1.39,0.1,0.04,0.01,0.0,0.0,0.0
2025-09-06,11,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.66,2.9,0.19,0.23,498.58,23.41,17.04,0.93,0.607,5.98,1.74,26.45,0.99,1.0,7.0,4,0.037,92.66,400.0,0.93,0.98,0.96,169.79,48.72,294.88,148.89,49.61,0.445,V7,1.5,0.08,0.03,0.0,0.0,0.0,0.0
2025-09-07,12,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,2.96,2.32,0.11,0.13,498.46,23.22,17.54,0.7,1.236,5.98,1.69,26.09,1.01,1.01,8.0,4,0.032,80.1,400.0,0.7,1.0,1.0,158.97,48.26,293.05,148.49,49.47,0.385,V8,1.63,0.07,0.02,0.0,0.0,0.0,0.0
2025-09-08,13,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.75,2.95,0.17,0.2,498.25,22.59,17.43,0.95,0.597,5.97,1.63,25.56,1.0,1.0,8.0,4,0.034,85.42,400.0,0.95,0.96,0.93,146.89,47.75,290.99,148.05,49.31,0.41,V8,1.74,0.06,0.01,0.0,0.0,0.0,0.0
2025-09-09,14,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.21,2.54,0.15,0.18,498.08,21.91,21.39,0.73,0.655,5.97,1.57,25.3,0.94,0.95,8.0,4,0.036,90.52,400.0,0.73,1.0,1.0,133.47,47.18,288.71,147.56,49.14,0.434,V8,1.83,0.06,0.01,0.0,0.0,0.0,0.0
2025-09-10,15,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.08,2.47,0.18,0.21,497.86,23.63,15.98,0.76,0.714,6.0,1.88,25.74,1.07,1.05,9.0,5,0.04,80.65,400.0,0.76,1.0,1.0,200.0,50.0,300.0,150.0,50.0,0.484,V9,1.96,0.1,0.01,0.0,0.0,0.0,0.04
2025-09-11,16,High_pH,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.12,2.55,0.25,0.29,497.57,21.25,20.23,0.73,0.438,5.99,1.79,24.86,0.91,0.93,9.0,5,0.048,95.5,400.0,0.73,1.0,1.0,181.31,49.21,296.84,149.31,49.76,0.573,V9,2.07,0.05,0.0,0.0,0.0,0.0,0.0
