Date,Day,DAS,DAT,Treatment_ID,System_ID,Crop_ID,Location_ID,System_Type,System_Area_m2,Plant_Count,Flow_Rate_L_h,System_Description,,Temp_C,Solar_Rad_MJ,VPD_kPa,CO2_umol_mol, ,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,WUE_kg_m3,  ,pH,EC,pH_Change_Uptake,pH_Drift,Acid_Dosed_mL_L,Base_Dosed_mL_L,Buffer_Capacity,   ,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L,    ,RZT_C,RZT_Growth_Factor,RZT_Nutrient_Factor,Env_Photo_Factor,Env_Transp_Factor,     ,V_Stage,Leaf_Number,Leaf_Area_m2,Avg_Leaf_Area_cm2,      ,Growth_Stage,Total_Biomass_g,LAI,Plant_Height_cm,Daily_Growth_Rate_g_day,       ,Integrated_Stress,Temperature_Stress,Water_Stress,Nutrient_Stress,Nitrogen_Stress,Salinity_Stress,        ,Shoot_Dry_Weight_g,Leaf_Dry_Weight_g,Stem_Dry_Weight_g,Shoot_Fresh_Weight_g,Leaf_Fresh_Weight_g,Stem_Fresh_Weight_g,Root_Dry_Weight_g,Root_Fresh_Weight_g,Leaf_Growth_Rate_g_day,Stem_Growth_Rate_g_day,Root_Growth_Rate_g_day,         ,Fine_Root_Length_cm,Coarse_Root_Length_cm,Root_Length_Density_cm_cm3,Root_Surface_Area_cm2,Root_Volume_cm3,          ,Jmax_25_umol_m2_s,Quantum_Efficiency,Rubisco_Limited_umol_m2_s,Light_Limited_umol_m2_s,CO2_Compensation_umol_mol,Intercellular_CO2_umol_mol,Photosynthesis_Rate,Net_Assimilation,Maintenance_Respiration,Growth_Respiration,Respiration_Rate,Maint_Resp_Leaves,Maint_Resp_Stems,Maint_Resp_Roots,Growth_Resp_Leaves,Growth_Resp_Stems,Growth_Resp_Roots,Temperature_Acclimation,Age_Factor,Light_Interception,Sunlit_LAI,Shaded_LAI,Total_Absorbed_PPFD_umol_m2_s,Canopy_Photosynthesis_umol_m2_s,Canopy_Layers,PPFD_Top_umol_m2_s,PPFD_Bottom_umol_m2_s,Light_Extinction_Coeff,N_Pool_Structural_g,N_Pool_Metabolic_g,N_Pool_Storage_g,N_Pool_Transport_g,N_Remobilization_g,N_Critical_Conc,Nitrogen_Uptake_mg,Nitrogen_Demand_mg,Leaf_Nitrogen_Conc,Root_Nitrogen_Conc,Nitrogen_Remobilization,Accumulated_GDD,Thermal_Time_Daily,Development_Rate,Is_Vegetative,Is_Reproductive,Root_Cohorts,Root_Activity_Young,Root_Activity_Old,Root_Surface_Active_cm2,Root_Turnover_Rate,Cultivar_Adaptation_Index,Cultivar_Yield_Potential,Genetic_Photosynthesis_Capacity,Genetic_EC_Tolerance,Genetic_Nitrate_Efficiency,Phosphorus_Uptake_mg,Phosphorus_Remobilization,Potassium_Remobilization,Senescence_Rate,Leaf_Senescence_Rate,Temperature_Stress_Photosynthesis,Temperature_Stress_Growth,Cold_Stress_Factor,Heat_Stress_Factor,Temperature_Stress_Factor,Controlled_Humidity_pct,VPD_Target_kPa,Environmental_Cost,Phosphate_H2PO4_mg_L,Phosphate_HPO4_mg_L,Nutrient_Precipitation_mg_L,Stress_Interaction_water_interaction,Stress_Interaction_temperature_interaction,Stress_Interaction_nutrient_interaction,Stress_Interaction_light_interaction,Stress_Interaction_salinity_interaction,Stress_Interaction_oxygen_interaction,Stress_Interaction_ph_interaction,Acclimation_water,Acclimation_temperature,Acclimation_nutrient,Acclimation_light,Acclimation_salinity,Acclimation_oxygen,Acclimation_ph,Cumulative_Damage_water,Cumulative_Damage_temperature,Cumulative_Damage_nutrient,Cumulative_Damage_light,Cumulative_Damage_salinity,Cumulative_Damage_oxygen,Cumulative_Damage_ph
2025-08-01,1,17,1,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,25.2,26.7,1.09,960.0,,4.45,0.36,0.02,0.49,499.51,(496.269+0j),,6.0,3.61,0.0,0.0,0.0,0.0,2.89,,160.0,37.5,270.0,50.0,15.0,,26.82,0.82,1.23,0.93,0.89,,2.0,2,0.007,35.2,,V4,(1+0j),0.084,10.2,0j,,0.26,0.04,0.04,0.0,0.0,0.22,,(0.78+0j),(0.7+0j),(0.08+0j),(19.8+0j),(15+0j),(2.3+0j),(0.22+0j),(2.1+0j),0j,0j,0j,,2.2,0.3,0.0,0.24,0.0,,125.0,0.24,0.17,23.52,42.75,960.0,0.04,(-0.003421039898140528+8.888366480172804e-17j),(0.04782489323892193-8.888366480172804e-17j),0j,(0.04782489323892193-8.888366480172804e-17j),(0.04609884212258105-8.567575907595774e-17j),(0.00026554632559090463-4.935239578108164e-19j),(0.0014605047907499758-2.7143817679594905e-18j),0j,0j,0j,(1.0742165274712974-1.996456140011394e-15j),(1.03+0j),0.01,0.01,0.0,13.22,0.66,5,1201.5,1181.37,0.81,0.0,0.0,0.0,0.0,0.0,0j,0.02,10.0,(3.82+0j),(2.38+0j),0.0,126.16,0.89,1.16,True,False,12,1.0,0.8,0.24,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0j,0.0,0.0,0.0,0.0,,,,70.75,0.71,0.05,6.14,0.39,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01
2025-08-02,2,18,2,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,27.0,23.3,1.03,745.6,,4.14,0.11,0.01,0.61,498.9,(498.88393179379847+4.5977024031502164e-17j),,6.0,3.52,0.0,0.0,0.0,0.0,2.89,,160.0,20.0,270.0,50.0,15.0,,28.55,0.82,1.27,0.97,0.96,,2.0,2,0.009,43.05,,V4,(1.3156781773728676+5.4321315667652635e-17j),0.103,10.3,(0.3156781773728674+5.4321315667652635e-17j),,0.36,0.22,0.04,0.0,0.0,0.2,,(1.0483264507669374+4.617311831750474e-17j),(0.8894069064237204+3.259278940059158e-17j),(0.15891954434321687+1.358032891691316e-17j),(24.930718393186172+1.0980634985092962e-15j),(17.837665406324746+6.5367074146553405e-16j),(4.499633560370251+3.845122008620788e-16j),(0.2673517266059301+8.148197350147895e-18j),(2.3830765376373853+7.263008238505932e-17j),(0.18940690642372043+3.259278940059158e-17j),(0.07891954434321685+1.358032891691316e-17j),(0.04735172660593011+8.148197350147895e-18j),,2.2,0.3,0.0,0.24,0.0,,125.0,0.24,0.15,23.57,42.75,745.6,0.26,(0.18614839419487655+3.203207065575145e-17j),(0.0428043047619484-3.714913859164433e-17j),(0.029736884308524104+5.117067935892877e-18j),(0.07254118907047251-3.203207065575145e-17j),(0.041026206145858515-3.560595660828796e-17j),(0.0002735536332445975-2.3741261282405705e-19j),(0.0015045449828452865-1.305769370532314e-18j),(0.01784213058511446+3.070240761535726e-18j),(0.007434221077131026+1.2792669839732193e-18j),(0.004460532646278615+7.675601903839315e-19j),(1.0907242154888261-9.466212632538163e-16j),(1.05+0j),0.05,0.07,0.01,74.06,3.7,5,1048.5,936.26,0.81,0.0,0.0,0.0,0.0,0.0,(1.722299186254095e-05-7.110975873861852e-22j),0.02,10.0,(3.010433110718861-1.1031892340116734e-16j),(1.958468743206486-5.968912199046408e-17j),0.0,127.1,0.73,0.95,True,False,12,1.0,0.8,0.24,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,(7.955090069796259+1.3688971548248464e-15j),0.0,0.0,0.0,0.0,,,,71.48,0.72,0.09,6.14,0.39,0.0,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.02,0.01,0.02,0.02
2025-08-03,3,19,3,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,25.7,24.9,1.39,768.0,,5.28,0.17,0.01,0.71,498.18,(498.4498016175383+1.7334935314148864e-16j),,6.0,3.61,0.0,0.0,0.0,0.0,2.89,,160.0,37.5,270.0,50.0,15.0,,28.46,0.69,0.32,0.69,0.54,,2.0,2,0.01,49.58,,V4,(1.6016342042636023+1.7965812292051427e-16j),0.119,10.4,(0.2859560268907349+1.253368072528616e-16j),,0.4,0.21,0.13,0.01,0.0,0.22,,(1.2780234705425098+1.468511540532868e-16j),(1.0515459792064774+1.0365963815526125e-16j),(0.2264774913360323+4.319151589802553e-17j),(28.262948272162824+3.247551133746887e-15j),(19.61129026236353+1.933248086677558e-15j),(5.963006278344165+1.1372047568691518e-15j),(0.3236107337210926+3.280696886722747e-17j),(2.682367636272473+2.719327338798768e-16j),(0.16213907278275697+7.106684875466968e-17j),(0.06755794699281541+2.9611186981112365e-17j),(0.056259007115162504+2.465877151707957e-17j),,2.2,0.3,0.0,0.24,0.0,,125.0,0.24,0.14,22.9,42.75,768.0,0.28,(0.20752203430890365+9.095856274725551e-17j),(0.041001598654700364-1.0276528999047507e-16j),(0.026937057733107225+1.1806727243219562e-17j),(0.06793865638780759-9.095856274725551e-17j),(0.03882066579251911-9.737797275213709e-17j),(0.0004996847825442413-1.2131390715774053e-18j),(0.001681248079637018-4.174178166760578e-18j),(0.015273500656135704+6.694497152689883e-18j),(0.00636395860672321+2.7893738136207843e-18j),(0.005299598470248307+2.322856276908895e-18j),(0.9887618295523699-2.48501835679729e-15j),(1.06+3.595992805970647e-33j),0.06,0.09,0.01,101.83,5.09,5,1120.5,964.74,0.81,0.0,0.0,0.0,0.0,0.0,(1.4038084248481775e-05-1.574676576442036e-21j),0.02,10.0,(2.5462509989534716-2.51005150914245e-16j),(1.6179933031865072-1.6402872461817383e-16j),0.0,128.2,0.85,1.1,True,False,12,1.0,0.8,0.24,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,(6.7575961760885255+1.4924038238480634e-15j),0.0,0.0,0.0,0.0,,,,72.17,0.74,0.14,6.14,0.39,0.0,0.01,0.03,0.0,0.0,0.04,0.0,0.0,0.02,0.04,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.0,0.03,0.01,0.03,0.03
2025-08-04,4,20,4,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,25.0,22.7,1.3,726.4,,4.91,0.17,0.01,0.8,497.38,(498.5639828409476+2.4475905258094534e-16j),,6.0,3.61,0.0,0.0,0.0,0.0,2.89,,160.0,37.5,270.0,50.0,15.0,,28.0,0.65,0.3,0.76,0.64,,2.0,2,0.011,55.17,,V4,(1.9916161745039376+3.404347480900873e-16j),0.132,10.6,(0.3899819702403353+1.6077662516957308e-16j),,0.35,0.17,0.1,0.01,0.0,0.22,,(1.5998766762743282+2.795405504007131e-16j),(1.278736477370114+1.9732274145932687e-16j),(0.3211401989042142+8.221780894138622e-17j),(34.71544467278755+6.0657015975977265e-15j),(23.400037100051712+3.610876480452293e-15j),(8.296453516234045+2.1240449885013493e-15j),(0.3917394982296095+6.089419768937424e-17j),(3.1860334893432514+4.9525502029238695e-16j),(0.22719049816363654+9.366310330406563e-17j),(0.09466270756818188+3.9026293043360685e-17j),(0.06812876450851688+2.8087228822146775e-17j),,2.3,0.3,0.0,0.24,0.0,,125.0,0.24,0.12,21.63,42.75,726.4,0.38,(0.3009202084079369+1.2405941619130963e-16j),(0.04026912724474257-1.3920457428228342e-16j),(0.036736301596639584+1.5145158090973782e-17j),(0.07700542884138215-1.2405941619130963e-16j),(0.03766654698991439-1.304742724418654e-16j),(0.0006746326537214057-2.218397041019439e-18j),(0.0019279476011067741-6.5119047993985835e-18j),(0.02140134492701456+8.823064331242982e-18j),(0.008917227052922732+3.676276804684576e-18j),(0.0064177296167022896+2.645816955046226e-18j),(0.9236609718896766-3.213429134778071e-15j),(1.075-1.6653428435279523e-32j),0.07,0.1,0.02,99.53,4.98,5,1021.5,870.29,0.81,0.0,0.0,0.0,0.0,0.0,(1.1225769137932904e-05-1.918864657514414e-21j),0.02,10.0,(2.093863784590413-3.2310561990654457e-16j),(1.336602518679654-2.077690362407332e-16j),0.0,129.38,0.91,1.18,True,False,13,1.0,0.8,0.24,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,(7.683261924102271+1.9669251693853782e-15j),0.0,0.0,0.0,0.0,,,,72.82,0.75,0.18,6.14,0.39,0.0,0.0,0.02,0.0,0.0,0.05,0.0,0.0,0.02,0.04,0.0,0.01,0.02,0.01,0.01,0.03,0.02,0.0,0.04,0.02,0.03,0.04
2025-08-05,5,21,5,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,23.6,22.7,0.9,726.4,,3.68,0.29,0.01,0.55,496.83,(498.80700327876775+1.8770499235153733e-16j),,6.0,2.97,0.0,0.0,0.0,0.0,2.89,,60.0,37.5,270.0,50.0,15.0,,26.98,0.59,0.3,1.0,1.0,,2.0,2,0.007,35.07,,V4,(2.5875060905764005+4.080894958260571e-16j),0.084,10.8,(0.5958899160724629+6.765474773596979e-17j),,0.14,0.06,0.04,0.01,0.0,0.09,,(2.1063831049359214+3.370470859762874e-16j),(1.6362704270135917+2.3791559010090875e-16j),(0.4701126779223299+9.913149587537867e-17j),(47.1714752583935+7.548013578245888e-15j),(30.90270127833489+4.493288083049906e-15j),(12.534460502932195+2.64311063708818e-15j),(0.48112298564047895+7.104240984976971e-17j),(4.038452231347813+5.96316092020007e-16j),(0.35753394964347773+4.0592848641581874e-17j),(0.14897247901811572+1.6913686933992447e-17j),(0.08938348741086943+1.0148212160395469e-17j),,2.5,0.3,0.0,0.25,0.0,,125.0,0.24,0.11,20.48,42.75,726.4,0.61,(0.5084662866870717+5.772904932641269e-17j),(0.04045358587088619-6.410212656314104e-17j),(0.05613283009402599+6.373077236728352e-18j),(0.09658641596491219-5.772904932641269e-17j),(0.037299477848342255-5.956044210811345e-17j),(0.0009169774361850347-1.2549688530597657e-18j),(0.0022371305863589006-3.2867156019678376e-18j),(0.033679698056415595+3.823846342037012e-18j),(0.014033207523506496+1.593269309182088e-18j),(0.008419924514103899+9.55961585509253e-19j),(0.8732050215581723-1.418618812142233e-15j),(1.09-1.6306252198822834e-32j),0.08,0.11,0.02,109.87,5.49,5,1021.5,854.3,0.81,0.0,0.0,0.0,0.0,0.0,(8.457887326320981e-06-1.3339388793411667e-21j),0.02,10.0,(1.6363432081864298-2.3792617256661743e-16j),(1.0882872272314632-1.6069601648386152e-16j),0.0,130.68,1.0,1.3,True,False,15,1.0,0.8,0.25,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,(10.330220207762302+3.5518742561384144e-16j),0.0,0.0,0.0,0.0,,,,73.41,0.76,0.21,6.13,0.39,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.06,0.0,0.01,0.02,0.01,0.01,0.04,0.03,0.0,0.05,0.02,0.04,0.05
2025-08-06,6,22,6,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,24.7,21.8,1.31,697.6,,4.89,0.39,0.02,0.63,496.21,(498.2958987257923+2.762931169896331e-16j),,6.0,4.13,0.0,0.0,0.0,0.0,2.89,,160.0,20.0,270.0,127.5,42.5,,27.23,0.72,0.52,0.75,0.63,,2.0,2,0.008,40.36,,V4,(2.7714667645575624+4.50886291320123e-16j),0.097,10.9,(0.18396067398116211+4.2796795494065894e-17j),,0.39,0.11,0.12,0.01,0.0,0.33,,(2.25783442509064+3.722808728270114e-16j),(1.7431772412404518+2.6278649846612566e-16j),(0.5146571838501883+1.0949437436088571e-16j),(45.081496443133794+7.433219485757426e-15j),(29.352631803647203+4.424951835050891e-15j),(12.234489689499725+2.602912844147583e-15j),(0.5136323394669227+7.860541849311167e-17j),(3.8439288612735254+5.882683265460819e-16j),(0.10690681422686006+2.48709083652169e-17j),(0.04454450592785836+1.0362878485507044e-17j),(0.03250935382644372+7.563008643341952e-18j),,3.0,0.3,0.0,0.26,0.0,,125.0,0.24,0.11,21.03,42.75,697.6,0.19,(0.12634504425030774+2.939303767186039e-17j),(0.0468232267721407-3.34244958074014e-17j),(0.01732909548902547+4.031458135541007e-18j),(0.06415232226116617-2.939303767186039e-17j),(0.04239722347809586-3.0812058655639245e-17j),(0.0014526531202320194-7.957414381764116e-19j),(0.002973350173812828-1.8166957135857402e-18j),(0.010070621900170214+2.342839568003432e-18j),(0.004196092458404257+9.761831533347634e-19j),(0.0030623811304509975+7.124354142028119e-19j),(0.9321298702010077-7.071625806157017e-16j),(1.105+2.781392424370318e-32j),0.05,0.07,0.01,69.0,3.45,5,981.0,875.06,0.82,0.0,0.0,0.0,0.0,0.0,(9.08903117881571e-06-1.4786825562252073e-21j),0.02,10.0,(1.5359883875575844-2.3155247814253143e-16j),(1.019406216795894-1.5600819132394467e-16j),0.0,131.9,0.94,1.22,True,False,18,1.0,0.8,0.26,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,(4.490086197528123+1.04457815133911e-15j),0.0,0.0,0.0,0.0,,,,73.92,0.77,0.23,6.13,0.39,0.0,0.01,0.01,0.0,0.0,0.1,0.0,0.0,0.03,0.06,0.0,0.02,0.04,0.01,0.02,0.05,0.04,0.0,0.06,0.03,0.05,0.06
2025-08-07,7,23,7,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,26.3,20.2,1.37,646.4,,5.0,0.14,0.01,0.68,495.52,(499.3942771017041+1.2204187594601951e-16j),,6.0,3.61,0.0,0.0,0.0,0.0,2.89,,160.0,37.5,270.0,50.0,15.0,,28.3,0.8,1.0,0.71,0.56,,2.0,2,0.009,44.23,,V4,(3.0946913723952574+6.242789199201624e-16j),0.106,11.0,(0.32322460783769474+1.733926286000394e-16j),,0.38,0.24,0.14,0.01,0.0,0.22,,(2.5189509504310497+5.123558535117039e-16j),(1.9274947885395646+3.6166295542002633e-16j),(0.5914561618914853+1.5069289809167764e-16j),(48.361862834489145+9.836826519285927e-15j),(31.20870794259631+5.8558049632455064e-15j),(13.519712538102896+3.444591154850298e-15j),(0.5757404219642077+1.1192306640845848e-16j),(4.143113015958412+8.054148979862486e-16j),(0.1843175472991127+9.887645695390065e-17j),(0.07679897804129696+4.1198523730791937e-17j),(0.06210808249728511+3.331764791534682e-17j),,3.0,0.3,0.0,0.26,0.0,,125.0,0.24,0.12,21.55,42.75,646.4,0.28,(0.19685532986025767+1.0560230338507429e-16j),(0.05051771173715664-1.21935888999198e-16j),(0.030447758058310837+1.6333585614123707e-17j),(0.08096546979546748-1.0560230338507429e-16j),(0.045479060464185685-1.1040097789851572e-16j),(0.001681783063811196-3.78317562163886e-18j),(0.0033568682091597597-7.751735479043418e-18j),(0.017362712955576412+9.31416224505744e-18j),(0.007234463731490171+3.880900935440599e-18j),(0.005850581371244256+3.1385224336256695e-18j),(0.9725516119464712-2.394669878212086e-15j),(1.1200000000000003-2.0929039535223138e-33j),0.06,0.08,0.01,73.01,3.65,5,909.0,796.7,0.82,0.0,0.0,0.0,0.0,0.0,(8.929673811412923e-06-1.8013450943618763e-21j),0.02,10.0,(1.3891088141559662-2.6064360957795796e-16j),(0.9094376215824408-1.7679329682543965e-16j),0.0,132.93,0.79,1.03,True,False,18,1.0,0.8,0.26,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,(6.648508422387653+2.109054662491678e-15j),0.0,0.0,0.0,0.0,,,,74.34,0.77,0.25,6.13,0.39,0.0,0.01,0.03,0.0,0.0,0.05,0.0,0.0,0.04,0.07,0.0,0.02,0.03,0.01,0.02,0.05,0.04,0.0,0.07,0.03,0.06,0.07
2025-08-08,8,24,8,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,24.4,18.7,1.1,598.4,,4.12,0.13,0.01,0.74,494.79,(499.4873685354899+1.0028937595729478e-16j),,6.0,2.97,0.0,0.0,0.0,0.0,2.89,,60.0,37.5,270.0,50.0,15.0,,27.57,0.62,0.3,0.92,0.88,,2.0,2,0.01,47.62,,V4,(3.4944610720583946+6.843454297599896e-16j),0.114,11.2,(0.39976969966313697+6.006650983982713e-17j),,0.19,0.15,0.08,0.01,0.0,0.09,,(2.8587551951447163+5.63412386875557e-16j),(2.167356608337447+3.977028613239226e-16j),(0.6913985868072695+1.6570952555163443e-16j),(56.67818313393602+1.117031304306709e-14j),(36.2383649219656+6.649621646814057e-15j),(16.320333441393586+3.9115421451847395e-15j),(0.6357058769136783+1.2093304288443255e-16j),(4.724022179730496+8.98670906775231e-16j),(0.23986181979788218+3.6039905903896277e-17j),(0.09994242491578424+1.501662745995678e-17j),(0.059965454949470545+9.009976475974069e-18j),,3.0,0.3,0.0,0.26,0.0,,125.0,0.24,0.09,19.41,42.75,598.4,0.41,(0.32275363281824654+4.849463147870688e-17j),(0.049919297865866186-5.4152896705618595e-17j),(0.037658305708267496+5.658265226911714e-18j),(0.08757760357413369-4.849463147870688e-17j),(0.044481250273037204-4.906875119175546e-17j),(0.0018453717757428876-1.6516591175376716e-18j),(0.0035926758170860954-3.432486396325469e-18j),(0.022594983424960496+3.394959136147029e-18j),(0.009414576427066874+1.4145663067279286e-18j),(0.005648745856240124+8.487397840367572e-19j),(0.9163137362054444-1.0535873486604092e-15j),(1.1350000000000002-1.2525448327276237e-32j),0.06,0.09,0.02,73.65,3.68,5,841.5,727.95,0.82,0.0,0.0,0.0,0.0,0.0,(7.0956887526456495e-06-1.3895997319014537e-21j),0.02,10.0,(1.2353758443350389-2.2668743399794353e-16j),(0.8236513441436989-1.5668671148163053e-16j),0.0,134.18,0.96,1.25,True,False,18,0.96,0.76,0.25,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,(7.69048873164532+3.439695351133495e-16j),0.0,0.0,0.0,0.0,,,,74.66,0.78,0.25,6.13,0.39,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.04,0.06,0.0,0.02,0.03,0.02,0.02,0.06,0.04,0.0,0.08,0.04,0.07,0.08
2025-08-09,9,25,9,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,26.4,21.9,1.14,700.8,,4.37,0.14,0.01,0.78,494.0,(499.5008439005638+8.511926571426635e-17j),,6.0,2.52,0.0,0.0,0.0,0.0,3.13,,160.0,37.5,90.0,50.0,42.5,,28.5,0.79,0.91,0.89,0.84,,2.0,2,0.01,50.15,,V4,(4.225733083496778+7.213189233279498e-16j),0.12,11.4,(0.7312720114383834+3.6973493567960244e-17j),,0.2,0.27,0.08,0.02,0.0,0.0,,(3.480336404867342+5.948398564083232e-16j),(2.606119815200477+4.1988695746469873e-16j),(0.8742165896668653+1.749528989436245e-16j),(66.61981602245521+1.1386290630217585e-14j),(42.0703232995091+6.77819183398835e-15j),(19.923371594486778+3.98717166705197e-15j),(0.7453966786294358+1.2647906691962658e-16j),(5.3479385241896855+9.074393458886082e-16j),(0.43876320686303005+2.2184096140776146e-17j),(0.18281800285959585+9.243373391990063e-18j),(0.10969080171575751+5.5460240351940365e-18j),,3.0,0.3,0.0,0.26,0.0,,125.0,0.24,0.13,22.45,42.75,700.8,0.58,(0.4550328270002372+2.3006696604197376e-17j),(0.0565355942149118-2.648959969829923e-17j),(0.06888582347749571+3.482903094101855e-18j),(0.1254214176924075-2.3006696604197376e-17j),(0.04987510940775655-2.429641185324518e-17j),(0.002346151173031572-6.974159293922082e-19j),(0.004314333634123676-1.4957719156618406e-18j),(0.041331494086497424+2.0897418564611127e-18j),(0.017221455869373927+8.707257735254639e-19j),(0.010332873521624356+5.224354641152782e-19j),(0.9835771019005372-5.281145299079677e-16j),(1.1500000000000001-3.075454424589706e-32j),0.07,0.1,0.02,92.39,4.62,5,985.5,842.71,0.82,0.0,0.0,0.0,0.0,0.0,(6.1665948499657216e-06-1.052617728069134e-21j),0.02,10.0,(1.027389448629027-1.6552862504634763e-16j),(0.7024447720410367-1.1919097827706854e-16j),0.0,135.2,0.78,1.02,True,False,18,0.93,0.73,0.24,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,(11.87445006557025+3.4345350464669666e-16j),0.0,0.0,0.0,0.0,,,,74.88,0.79,0.25,11.49,0.74,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.0,0.03,0.04,0.02,0.03,0.07,0.05,0.0,0.09,0.05,0.08,0.09
2025-08-10,10,26,10,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,22.8,23.6,0.94,755.2,,3.83,0.31,0.01,0.34,493.66,(499.5689243370644+7.017389281462914e-17j),,6.0,3.84,0.0,0.0,0.0,0.0,2.89,,159.92,37.48,270.0,49.95,42.47,,26.68,0.52,0.3,1.0,1.0,,2.0,2,0.004,21.02,,V4,(4.482823617577748+7.30379045450017e-16j),0.05,11.6,(0.2570905340809695+9.060122122067136e-18j),,0.3,0.09,0.07,0.02,0.0,0.27,,(3.6988633588361663+6.025409602120803e-16j),(2.7603741356490588+4.25323030737939e-16j),(0.9384892231871077+1.7721792947414128e-16j),(67.28080701850672+1.0959972870565916e-14j),(42.343828288206176+6.52440737941924e-15j),(20.324215008095756+3.8378866937760235e-15j),(0.7839602587415813+1.2783808523793664e-16j),(5.344827580873594+8.71565256334023e-16j),(0.15425432044858167+5.436073273240282e-18j),(0.06427263352024236+2.265030530516784e-18j),(0.03856358011214542+1.3590183183100704e-18j),,3.6,0.3,0.0,0.28,0.0,,125.0,0.24,0.11,20.12,42.75,755.2,0.33,(0.2547832181921841+8.978810051199535e-18j),(0.05356578195840511-9.832273555098259e-18j),(0.024217928310427322+8.534635038987241e-19j),(0.07778371026883243-8.978810051199535e-18j),(0.04647671143725582-9.337458079435483e-18j),(0.002620446930027923-1.3261703687382301e-19j),(0.0044686235911213755-3.6219843878895286e-19j),(0.014530756986256393+5.1207810233923445e-19j),(0.00605448207760683+2.1336587597468104e-19j),(0.0036326892465640983+1.2801952558480861e-19j),(0.8576481298183407-2.150414641090648e-16j),(1.165-5.835959324808385e-33j),0.07,0.1,0.02,104.44,5.22,5,1062.0,900.14,0.83,0.0,0.0,0.0,0.0,0.0,(5.6563767302202386e-06-9.215841151377387e-22j),0.02,10.0,(0.9699772090388855-1.4945569912686514e-16j),(0.6678909985060805-1.0891101359363112e-16j),0.0,136.5,1.0,1.3,True,False,21,0.93,0.73,0.26,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,(4.1398419344087305+3.3044349655889834e-17j),0.0,0.0,0.0,0.0,,,,74.99,0.79,0.24,6.13,0.39,0.0,0.0,0.01,0.0,0.0,0.06,0.0,0.0,0.05,0.06,0.0,0.03,0.06,0.02,0.03,0.08,0.05,0.0,0.1,0.05,0.09,0.1
