Date,Day,Treatment_ID,System_ID,Crop_ID,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,Temp_C,Solar_Rad_MJ,VPD_kPa,WUE_kg_m3,pH,EC,RZT_C,RZT_Growth_Factor,RZT_Nutrient_Factor,V_Stage,Leaf_Number,Leaf_Area_m2,Avg_Leaf_Area_cm2,CO2_umol_mol,VPD_Actual_kPa,Env_Photo_Factor,Env_Transp_Factor,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L,LAI,Growth_Stage,Total_Biomass_g,Integrated_Stress,Temperature_Stress,Water_Stress,Nutrient_Stress,Nitrogen_Stress,Salinity_Stress
2025-08-27,1,Low_Temp,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.46,2.57,0.03,0.03,499.97,24.96,20.46,0.81,0.0,6.0,1.88,26.81,1.09,1.07,4.0,4,0.015,37.5,400.0,0.81,1.0,1.0,200.0,50.0,300.0,150.0,50.0,0.18,V4,0.8,0.14,0.06,0.0,0.0,0.0,0.04
2025-08-28,2,Low_Temp,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.73,2.78,0.04,0.04,499.92,24.48,16.7,0.96,1.288,5.99,1.87,26.91,1.05,1.03,4.0,4,0.016,40.03,400.0,0.96,0.95,0.93,198.58,49.94,299.76,149.95,49.98,0.192,V4,0.85,0.13,0.05,0.0,0.0,0.0,0.03
2025-08-29,3,Low_Temp,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.76,2.81,0.04,0.05,499.87,22.58,18.63,0.94,1.003,5.99,1.86,25.99,0.94,0.95,5.0,4,0.017,42.22,400.0,0.94,0.97,0.95,195.75,49.82,299.28,149.84,49.95,0.203,V5,0.89,0.09,0.02,0.0,0.0,0.0,0.03
2025-08-30,4,Low_Temp,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.14,2.35,0.04,0.04,499.83,23.45,20.86,0.71,1.437,5.98,1.83,26.34,1.01,1.01,5.0,4,0.018,44.92,400.0,0.71,1.0,1.0,190.62,49.6,298.41,149.66,49.88,0.216,V5,0.94,0.09,0.03,0.0,0.0,0.0,0.02
2025-08-31,5,Low_Temp,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.89,2.95,0.07,0.08,499.74,23.14,20.54,0.96,0.769,5.98,1.8,26.27,0.98,0.98,5.0,4,0.021,53.51,400.0,0.96,0.95,0.93,183.23,49.29,297.16,149.39,49.78,0.257,V5,0.99,0.07,0.03,0.0,0.0,0.0,0.0
2025-09-01,6,Low_Temp,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.11,3.11,0.07,0.08,499.66,23.47,19.07,1.05,0.994,5.97,1.76,26.3,1.01,1.01,6.0,4,0.021,51.34,400.0,1.05,0.88,0.82,173.83,48.89,295.57,149.04,49.66,0.246,V6,1.06,0.09,0.03,0.01,0.0,0.0,0.0
2025-09-02,7,Low_Temp,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.15,3.19,0.11,0.14,499.52,23.77,20.06,1.04,0.571,5.97,1.7,26.59,1.01,1.01,6.0,4,0.026,65.57,400.0,1.04,0.88,0.83,162.43,48.41,293.63,148.63,49.52,0.315,V6,1.13,0.09,0.03,0.01,0.0,0.0,0.0
2025-09-03,8,Low_Temp,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.81,2.99,0.17,0.2,499.32,22.19,22.0,0.91,0.411,6.0,1.88,25.93,0.89,0.91,6.0,4,0.034,85.09,400.0,0.91,0.99,0.98,200.0,50.0,300.0,150.0,50.0,0.408,V6,1.2,0.1,0.02,0.0,0.0,0.0,0.04
2025-09-04,9,Low_Temp,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.26,2.51,0.08,0.1,499.22,23.9,20.44,0.75,1.569,5.99,1.81,26.55,1.03,1.02,7.0,4,0.027,66.32,400.0,0.75,1.0,1.0,185.62,49.39,297.57,149.47,49.81,0.318,V7,1.33,0.08,0.03,0.0,0.0,0.0,0.0
2025-09-05,10,Low_Temp,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.09,2.43,0.13,0.15,499.07,23.71,17.62,0.74,0.705,5.99,1.73,26.43,1.02,1.02,7.0,4,0.034,85.13,400.0,0.74,1.0,1.0,168.84,48.68,294.72,148.86,49.6,0.409,V7,1.42,0.08,0.03,0.0,0.0,0.0,0.0
