Date,Day,Treatment_ID,System_ID,Crop_ID,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,Temp_C,Solar_Rad_MJ,VPD_kPa,WUE_kg_m3,pH,EC,RZT_C,RZT_Growth_Factor,RZT_Nutrient_Factor,V_Stage,Leaf_Number,Leaf_Area_m2,Avg_Leaf_Area_cm2,CO2_umol_mol,VPD_Actual_kPa,Env_Photo_Factor,Env_Transp_Factor,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L,LAI,Growth_Stage,Total_Biomass_g,Integrated_Stress,Temperature_Stress,Water_Stress,Nutrient_Stress,Nitrogen_Stress,Salinity_Stress
2025-08-27,1,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.65,3.45,0.05,0.05,499.95,26.63,17.49,1.25,0.0,6.0,1.88,28.2,1.11,1.09,4.0,4,0.015,37.5,400.0,1.25,0.72,0.58,200.0,50.0,300.0,150.0,50.0,0.18,V4,0.8,0.28,0.16,0.06,0.0,0.0,0.04
2025-08-28,2,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.11,2.31,0.03,0.03,499.91,23.19,18.25,0.74,1.364,5.99,1.87,26.83,0.9,0.92,4.0,4,0.016,39.49,400.0,0.74,1.0,1.0,199.87,49.99,299.98,150.0,50.0,0.19,V4,0.84,0.12,0.04,0.0,0.0,0.0,0.04
2025-08-29,3,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.09,2.3,0.03,0.04,499.88,23.26,20.88,0.69,1.428,5.99,1.87,26.57,0.95,0.96,5.0,4,0.017,41.75,400.0,0.69,1.0,1.0,198.09,49.92,299.68,149.93,49.98,0.2,V5,0.88,0.11,0.03,0.0,0.0,0.0,0.03
2025-08-30,4,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,4.3,3.22,0.06,0.07,499.81,23.27,17.97,1.12,0.847,5.98,1.85,26.2,1.0,1.0,5.0,4,0.018,44.14,400.0,1.12,0.82,0.73,194.16,49.75,299.01,149.79,49.92,0.212,V5,0.93,0.12,0.02,0.03,0.0,0.0,0.02
2025-08-31,5,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.77,2.86,0.07,0.08,499.73,22.64,20.35,0.92,0.748,5.98,1.82,25.9,0.96,0.97,5.0,4,0.021,53.1,400.0,0.92,0.98,0.97,188.7,49.52,298.09,149.59,49.85,0.255,V5,0.98,0.08,0.02,0.0,0.0,0.0,0.01
2025-09-01,6,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.0,2.26,0.04,0.05,499.68,23.22,20.24,0.68,1.639,5.97,1.79,26.12,1.01,1.01,6.0,4,0.02,50.36,400.0,0.68,0.99,0.98,180.87,49.19,296.76,149.3,49.75,0.242,V6,1.05,0.07,0.02,0.0,0.0,0.0,0.0
2025-09-02,7,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.85,2.96,0.1,0.12,499.56,24.06,20.04,0.95,0.669,5.97,1.75,26.69,1.03,1.02,6.0,4,0.026,65.11,400.0,0.95,0.96,0.94,171.34,48.79,295.15,148.95,49.63,0.313,V6,1.11,0.08,0.03,0.0,0.0,0.0,0.0
2025-09-03,8,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.54,2.78,0.15,0.18,499.38,23.46,22.13,0.82,0.542,6.0,1.88,26.74,0.96,0.97,6.0,4,0.034,84.37,400.0,0.82,1.0,1.0,200.0,50.0,300.0,150.0,50.0,0.405,V6,1.19,0.12,0.03,0.0,0.0,0.0,0.04
2025-09-04,9,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,2.7,2.07,0.06,0.08,499.31,22.44,17.49,0.62,1.689,5.99,1.82,25.74,0.96,0.96,7.0,4,0.026,65.94,400.0,0.62,0.96,0.94,187.32,49.46,297.85,149.53,49.84,0.317,V7,1.3,0.07,0.01,0.0,0.0,0.0,0.01
2025-09-05,10,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.12,2.46,0.13,0.15,499.15,22.21,19.82,0.73,0.609,5.99,1.75,25.4,0.97,0.98,7.0,4,0.034,85.02,400.0,0.73,1.0,1.0,173.2,48.87,295.46,149.02,49.65,0.408,V7,1.38,0.06,0.01,0.0,0.0,0.0,0.0
2025-09-06,11,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.42,2.71,0.17,0.21,498.95,23.27,19.39,0.82,0.704,5.98,1.68,25.87,1.03,1.02,7.0,4,0.037,93.47,400.0,0.82,1.0,1.0,156.99,48.18,292.71,148.42,49.44,0.449,V7,1.5,0.07,0.02,0.0,0.0,0.0,0.0
2025-09-07,12,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.54,2.77,0.13,0.16,498.79,21.23,21.66,0.84,0.751,5.98,1.6,25.04,0.88,0.9,8.0,4,0.032,79.36,400.0,0.84,1.0,1.0,138.31,47.39,289.54,147.73,49.2,0.381,V8,1.6,0.05,0.0,0.0,0.0,0.0,0.0
2025-09-08,13,Baseline,CROPGRO_HYDRO_001,LETTUCE_ADVANCED,3.8,3.0,0.17,0.21,498.58,24.08,16.77,0.98,0.683,5.97,1.51,25.97,1.09,1.07,8.0,4,0.034,85.62,400.0,0.98,0.94,0.9,118.75,46.55,286.2,147.01,48.95,0.411,V8,1.72,0.07,0.02,0.0,0.0,0.0,0.0
