parameter_name,value,unit,description
base_temperature,4.0,celsius,Minimum temperature for plant development
optimal_temperature_min,15.0,celsius,Lower bound of optimal temperature range
optimal_temperature_max,25.0,celsius,Upper bound of optimal temperature range
maximum_temperature,35.0,celsius,Maximum temperature for development
photoperiod_sensitive,false,boolean,Whether plant responds to day length
critical_photoperiod,12.0,hours,Day length threshold for photoperiod response
photoperiod_slope,0.1,fraction,Sensitivity to photoperiod changes
bolting_photoperiod_threshold,14.0,hours,Day length above which bolting may occur
bolting_temperature_threshold,25.0,celsius,Temperature above which bolting may occur
cold_requirement_days,0.0,days,Days of cold needed for vernalization
thermal_time_scale,0.85,fraction,Scaling factor for thermal time calculation
stress_acceleration_factor,1.5,fraction,How much stress speeds development
drought_threshold,0.5,fraction,Water stress threshold for development effects
heat_threshold,30.0,celsius,Heat stress threshold for development effects
vernalization_temperature,5.0,celsius,Optimal temperature for vernalization
bolting_risk_threshold,0.7,fraction,Risk threshold that triggers bolting
bolting_photoperiod_divisor,4.0,hours,Divisor for photoperiod risk calculation
bolting_temperature_divisor,10.0,celsius,Divisor for temperature risk calculation
bolting_photoperiod_risk_max,0.4,fraction,Maximum risk contribution from photoperiod
bolting_temperature_risk_max,0.4,fraction,Maximum risk contribution from temperature
bolting_sustained_stress_risk,0.3,fraction,Risk from sustained stress conditions
bolting_maturity_risk_factor,0.05,fraction,Risk factor per node above 10
bolting_maturity_risk_max,0.2,fraction,Maximum risk from plant maturity
environmental_history_days,7,days,Days for sustained environmental stress calculation
environmental_buffer_days,14,days,Days of environmental history to retain
vernalization_required,false,boolean,Whether vernalization is required
vernalization_days,0.0,days,Days of cold required for vernalization
head_formation_node_requirement,8,nodes,Minimum nodes for head formation
