parameter_name,value,unit,description
uptake_efficiency,0.8,fraction,Efficiency of nitrogen uptake from solution
translocation_rate,0.4,fraction,Rate of nitrogen movement between plant parts
protein_synthesis,0.6,fraction,Portion of nitrogen used for protein synthesis
chlorophyll_ratio,0.02,fraction,Fraction of leaf nitrogen in chlorophyll
senescence_rate,0.6,fraction,Nitrogen recovered during leaf senescence
optimal_n_min,100.0,ppm,Minimum nitrogen concentration for optimal growth
nitrate_reduction_rate,0.8,g_N_per_g_root_per_day,Maximum NO3 reduction rate
ammonium_assimilation_rate,1.2,g_N_per_g_root_per_day,Maximum NH4 assimilation rate
amino_acid_uptake_rate,0.3,g_N_per_g_root_per_day,Direct amino acid uptake rate
photosynthetic_n_use_efficiency,36.0,umol_CO2_per_umol_N_per_s,Nitrogen use efficiency for photosynthesis
optimal_n_max,400.0,ppm,Maximum nitrogen concentration before toxicity
severe_deficiency_threshold,20.0,ppm,Nitrogen level below which severe stress occurs
