Date,Day,System_ID,Crop_ID,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,Temp_C,Solar_Rad_MJ,VPD_kPa,WUE_kg_m3,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L
2024-04-11,1,HYD1,LETT,1.9983320915632794,0.7729540060065963,0.07729540060065963,0.7729540060065964,499.2270459939934,18.765842481245063,20.746090864688924,0.4245459362297066,2.5,199.9999999999139,49.99999999998151,299.999999999923,149.9999999999683,49.99999999998562
2024-04-12,2,HYD1,LETT,1.7305117011145814,0.6694985438901986,0.06694985438901986,0.6694985438901986,498.5575474501032,21.526420500857615,19.050336289923532,0.4455279387755313,2.51,199.99999999989694,49.99999999997787,299.9999999999078,149.99999999996206,49.99999999998278
2024-04-13,3,HYD1,LETT,3.86667715206115,1.5322618318766992,0.15322618318766992,1.5322618318766992,497.02528561822646,19.381323819327218,17.417348395324613,1.009856014484198,2.52,199.9999999998728,49.99999999997269,299.9999999998862,149.9999999999532,49.999999999978755
2024-04-14,4,HYD1,LETT,2.2833594365468404,0.92122979845518,0.10215030348391171,1.0215030348391172,496.00378258338736,20.276002170648535,17.58451695812634,0.5563289817180155,2.53,199.99999999984422,49.99999999996655,299.9999999998606,149.99999999994267,49.99999999997398
2024-04-15,5,HYD1,LETT,2.8147061408047125,1.1681260494645225,0.1611031779706816,1.611031779706816,494.39275080368054,20.603556255650226,17.08568992804506,0.6712439137961905,2.54,199.9999999998092,49.99999999995903,299.9999999998293,149.9999999999298,49.99999999996813
2024-04-16,6,HYD1,LETT,2.7344033957484544,1.1757953311291904,0.20294896159610995,2.0294896159610993,492.36326118771944,21.488446387381284,20.24946453631441,0.6605788929412095,2.55,199.99999999976714,49.99999999994999,299.99999999979167,149.9999999999143,49.999999999961105
2024-04-17,7,HYD1,LETT,2.5925233802781884,1.1637189323223716,0.2509996272152815,2.509996272152815,489.8532649155666,21.84097311347727,20.87034917223336,0.6614433393487968,2.56,199.9999999997153,49.99999999993886,299.99999999974534,149.99999999989524,49.99999999995244
2024-04-18,8,HYD1,LETT,2.8290185838272364,1.323866475050011,0.3423718514379536,3.4237185143795363,486.4295464011871,21.083169539359314,16.135160433738527,0.7918199480702584,2.57,199.99999999964828,49.99999999992446,299.99999999968543,149.99999999987057,49.999999999941245
2024-04-19,9,HYD1,LETT,3.3452588915437476,1.6125009069271161,0.4674091940533705,4.674091940533705,481.7554544606534,19.808367132587044,20.545749298223342,0.7811080250522471,2.58,199.99999999955503,49.99999999990443,299.99999999960204,149.99999999983623,49.99999999992566
2024-04-20,10,HYD1,LETT,2.6212221096624457,1.2917104472728584,0.40503655257618576,4.050365525761857,477.7050889348916,18.7332535307095,19.887838894967086,0.6159440707467752,2.59,199.999999999429,49.99999999987736,299.9999999994893,149.99999999978985,49.99999999990461
2024-04-21,11,HYD1,LETT,2.886842327968556,1.4707720351143456,0.5146984680601078,5.1469846806010775,472.5581042542905,22.09879369661465,19.96529840820036,0.7646830817276606,2.6,199.9999999992998,49.99999999984961,299.99999999937376,149.9999999997423,49.99999999988302
2024-04-22,12,HYD1,LETT,2.6870918846086167,1.3797116608507303,0.49473578946347024,4.9473578946347025,467.6107463596558,20.58341947751994,17.63092727131976,0.6871653597455842,2.61,199.99999999912123,49.99999999981125,299.999999999214,149.99999999967656,49.99999999985319
2024-04-23,13,HYD1,LETT,2.6872525159208847,1.3898385714303936,0.5095859725554939,5.095859725554939,462.5148866341009,20.202751885270615,18.977969075666884,0.5530996852688579,2.62,199.99999999888766,49.99999999976109,299.9999999990051,149.99999999959059,49.99999999981417
2024-04-24,14,HYD1,LETT,3.975093554863633,2.0736367716481157,0.780221221692547,7.80221221692547,454.71267441717544,21.91890625204195,19.144337585261194,0.9026853419186511,2.63,199.99999999862064,49.99999999970374,299.9999999987663,149.9999999994923,49.99999999976957
2024-04-25,15,HYD1,LETT,3.4520788136974074,2.2462795636914947,0.8781751392748552,8.781751392748552,445.9309230244269,20.18617117580394,19.518333472447036,0.6938259191348344,2.64,199.99999999721211,49.999999999425434,299.99999999793755,149.99999999908485,49.99999999962048
2024-04-26,16,HYD1,LETT,3.4693122814922726,2.261370938060033,0.891089698598361,8.910896985983609,437.0200260384433,19.614241367142515,19.806600922015676,0.7822293370182707,2.65,199.9999999957835,49.99999999914316,299.99999999709695,149.9999999986716,49.99999999946926
2024-04-27,17,HYD1,LETT,3.55991710363153,2.332114867170873,0.9401939731667973,9.401939731667973,427.6180863067753,20.194994508177093,19.08830413532136,0.7588924435087008,2.66,199.99999999422832,49.999999998835875,299.9999999961819,149.9999999982217,49.99999999930464
2024-04-28,18,HYD1,LETT,3.1952348401725064,2.119514783853996,0.9027551976319153,9.027551976319153,418.59053433045614,21.97727645757011,17.73397538488836,0.7704035277607304,2.67,199.9999999924,49.99999999847462,299.9999999951061,149.9999999976928,49.99999999911111
2024-04-29,19,HYD1,LETT,1.9993952311965615,1.327709489774421,0.5681427959939643,5.681427959939644,412.9091063705165,19.278574073007483,20.186684534479014,0.4493445663441984,2.68,199.9999999907654,49.99999999815164,299.99999999414433,149.99999999721996,49.99999999893809
2024-04-30,20,HYD1,LETT,3.9964633803194802,2.727037863549455,1.3042766519076565,13.042766519076565,399.86633985143993,21.741154088152772,21.774006657911112,0.8700730571811137,2.69,199.99999998874998,49.99999999775341,299.99999999295846,149.99999999663694,49.99999999872475
2024-05-01,21,HYD1,LETT,3.500481285002401,2.4058904608615723,1.1832269229807653,11.832269229807652,388.0340706216323,18.790110895751976,20.589658519729223,0.7936375024596609,2.7,199.99999998698414,49.99999999740451,299.9999999919194,149.99999999612612,49.99999999853784
2024-05-02,22,HYD1,LETT,5.24894514873761,3.7416148466564256,2.100201557135026,21.00201557135026,367.032055050282,23.350282520665054,19.14530340666424,1.121824710294623,2.71,199.99999998493828,49.99999999700027,299.99999999071565,149.9999999955343,49.999999998321286
2024-05-03,23,HYD1,LETT,3.0218989118266966,2.235661426029624,1.4175679676336652,14.175679676336653,352.85637537394535,23.105607223834674,18.805607040088578,0.8277448381925512,2.72,199.999999982665,49.999999996551104,299.99999998937807,149.99999999487667,49.99999999808066
2024-05-04,24,HYD1,LETT,3.211588357363488,2.471317240991204,1.7627442508007574,17.627442508007572,335.2289328659378,19.745198715066543,16.35817027070503,0.8706151958205146,2.73,199.99999998038464,49.99999999610053,299.9999999880363,149.999999994217,49.99999999783928
2024-05-05,25,HYD1,LETT,2.7888006356680006,2.226158624967968,1.7569721884334344,17.569721884334342,317.65921098160345,21.471744608584412,16.912503312281892,0.6221773662403427,2.74,199.99999997760224,49.99999999555076,299.9999999863991,149.9999999934121,49.99999999754476
2024-05-06,26,HYD1,LETT,1.6495015947444387,1.356363591554303,1.1558843425694663,11.558843425694663,306.1003675559088,21.835967209771464,22.72325961862202,0.5012271773694197,2.75,199.99999997442555,49.99999999492308,299.9999999845299,149.99999999249314,49.999999997208505
2024-05-07,27,HYD1,LETT,2.863299166008141,2.434741905141686,2.2521872019421814,22.521872019421814,283.57849553648697,20.429643451427744,17.58872528092088,0.7713265120672763,2.76,199.99999997138863,49.99999999432302,299.99999998274296,149.99999999161463,49.99999999688705
2024-05-08,28,HYD1,LETT,2.03361018077962,1.761156486950372,1.7004190657145473,17.00419065714547,266.5743048793415,20.94704292110503,15.132805265789042,0.5992755806423486,2.77,199.99999996794315,49.999999993642234,299.99999998071564,149.9999999906179,49.99999999652234
2024-05-09,29,HYD1,LETT,4.485078738387849,3.928006637379983,3.89114917848102,38.9114917848102,227.66281309453132,21.09515351809734,21.57241128252236,0.8718316527649437,2.7800000000000002,199.99999996400092,49.9999999928633,299.99999997839603,149.99999998947752,49.99999999610505
2024-05-10,30,HYD1,LETT,3.1933251598774004,2.830248298915837,2.879871033713178,28.79871033713178,198.86410275739954,20.66858445030675,16.246024904966514,0.8765199258147505,2.79,199.999999959488,49.999999991971606,299.9999999757406,149.99999998817202,49.999999995627356
