step,day,hour,timestamp,ph,ph_stability,total_alkalinity,carbonate_concentration,phosphate_concentration,buffer_capacity,ph_drift_rate,ph_adjustment_needed,nutrient_solubility,iron_solubility,calcium_phosphate_precipitation,magnesium_phosphate_precipitation,cumulative_ph_adjustment,daily_ph_adjustment,step_count,last_update
1,1,0,2025-10-01 23:34:55.293306,6.045232069420864,0.995232069420864,7.0,0.0,4.580742847452274,7.0,0.05,0.0,{'Fe': 2.0},2.0,0.0,0.0,0.0,0.0,2,2025-10-01T23:34:55.156386
2,2,0,2025-10-01 23:34:55.506105,6.122601226876716,0.9965943353006171,7.0,0.0,4.524326657351315,7.0,0.05,0.11073659201767896,{'Fe': 2.0},2.0,0.0,0.0,398.65173126364425,0.0,4,2025-10-01T23:34:55.373021
3,3,0,2025-10-01 23:34:55.711306,6.174001460451908,0.9965943353006171,7.0,0.0,4.481811405841781,7.0,0.05,0.157162609440433,{'Fe': 2.0},2.0,0.0,0.0,1451.720344319923,0.0,6,2025-10-01T23:34:55.580597
4,4,0,2025-10-01 23:34:55.925169,6.214324419199467,0.9965943353006171,7.0,0.0,4.445391263889744,7.0,0.05,0.19358334637371188,{'Fe': 2.0},2.0,0.0,0.0,2783.9362830325595,0.0,8,2025-10-01T23:34:55.792436
5,5,0,2025-10-01 23:34:56.140924,6.245957368878163,0.9965943353006171,7.0,0.0,4.414816435712471,7.0,0.05,0.22215504285769613,{'Fe': 2.0},2.0,0.0,0.0,4335.140450280507,0.0,10,2025-10-01T23:34:56.008039
6,6,0,2025-10-01 23:34:56.353303,6.2707730951159,0.9965943353006171,7.0,0.0,4.389541666891202,7.0,0.05,0.2445692472014585,{'Fe': 2.0},2.0,0.0,0.0,6058.138648240646,0.0,12,2025-10-01T23:34:56.217581
7,7,0,2025-10-01 23:34:56.569160,6.290240779127709,0.9965943353006171,7.0,0.0,4.3688935850212,7.0,0.05,0.2621529617927692,{'Fe': 2.0},2.0,0.0,0.0,7915.907510294186,0.0,14,2025-10-01T23:34:56.432293
8,8,0,2025-10-01 23:34:56.783633,6.305512978585136,0.9965943353006171,7.0,0.0,4.352177673978276,7.0,0.05,0.2759472064639937,{'Fe': 2.0},2.0,0.0,0.0,9879.402583118143,0.0,16,2025-10-01T23:34:56.649082
9,9,0,2025-10-01 23:34:56.996871,6.317493863220718,0.9965943353006171,7.0,0.0,4.338739454314136,7.0,0.05,0.2867686506509706,{'Fe': 2.0},2.0,0.0,0.0,11925.838789452606,0.0,18,2025-10-01T23:34:56.862738
10,10,0,2025-10-01 23:34:57.214391,6.3268927449634065,0.9965943353006171,7.0,0.0,4.327994505618923,7.0,0.05,0.29525796319275416,{'Fe': 2.0},2.0,0.0,0.0,14037.341468687966,0.0,20,2025-10-01T23:34:57.078527
11,11,0,2025-10-01 23:34:57.430084,6.334266071783589,0.9965943353006171,7.0,0.0,4.319438988758876,7.0,0.05,0.3019177422561448,{'Fe': 2.0},2.0,0.0,0.0,16199.888131970478,0.0,22,2025-10-01T23:34:57.296361
12,12,0,2025-10-01 23:34:57.648275,6.340050371435994,0.9965943353006171,7.0,0.0,4.312648925549323,7.0,0.05,0.3071422709744461,{'Fe': 2.0},2.0,0.0,0.0,18402.478279880997,0.0,24,2025-10-01T23:34:57.512250
13,13,0,2025-10-01 23:34:57.863798,6.344588095489839,0.9965943353006171,7.0,0.0,4.307273651176264,7.0,0.05,0.31124086044243526,{'Fe': 2.0},2.0,0.0,0.0,20636.482132875204,0.0,26,2025-10-01T23:34:57.730089
