step,day,hour,timestamp
1,1,0,2025-09-29 00:07:14.205924
2,1,1,2025-09-29 00:07:14.205929
3,1,2,2025-09-29 00:07:14.205933
4,1,3,2025-09-29 00:07:14.205935
5,1,4,2025-09-29 00:07:14.205937
6,1,5,2025-09-29 00:07:14.205940
7,1,6,2025-09-29 00:07:14.205942
8,1,7,2025-09-29 00:07:14.205944
9,1,8,2025-09-29 00:07:14.205945
10,1,9,2025-09-29 00:07:14.205947
11,1,10,2025-09-29 00:07:14.205949
12,1,11,2025-09-29 00:07:14.205951
13,1,12,2025-09-29 00:07:14.205953
14,1,13,2025-09-29 00:07:14.205955
15,1,14,2025-09-29 00:07:14.205957
16,1,15,2025-09-29 00:07:14.205959
17,1,16,2025-09-29 00:07:14.205961
18,1,17,2025-09-29 00:07:14.205963
19,1,18,2025-09-29 00:07:14.205965
20,1,19,2025-09-29 00:07:14.205966
21,1,20,2025-09-29 00:07:14.205968
22,1,21,2025-09-29 00:07:14.205970
23,1,22,2025-09-29 00:07:14.205972
24,1,23,2025-09-29 00:07:14.205974
25,2,0,2025-09-29 00:07:14.206009
26,2,1,2025-09-29 00:07:14.206011
27,2,2,2025-09-29 00:07:14.206013
28,2,3,2025-09-29 00:07:14.206015
29,2,4,2025-09-29 00:07:14.206017
30,2,5,2025-09-29 00:07:14.206019
31,2,6,2025-09-29 00:07:14.206021
32,2,7,2025-09-29 00:07:14.206023
33,2,8,2025-09-29 00:07:14.206025
34,2,9,2025-09-29 00:07:14.206027
35,2,10,2025-09-29 00:07:14.206029
36,2,11,2025-09-29 00:07:14.206030
37,2,12,2025-09-29 00:07:14.206032
38,2,13,2025-09-29 00:07:14.206034
39,2,14,2025-09-29 00:07:14.206036
40,2,15,2025-09-29 00:07:14.206038
41,2,16,2025-09-29 00:07:14.206040
42,2,17,2025-09-29 00:07:14.206042
43,2,18,2025-09-29 00:07:14.206044
44,2,19,2025-09-29 00:07:14.206045
45,2,20,2025-09-29 00:07:14.206047
46,2,21,2025-09-29 00:07:14.206049
47,2,22,2025-09-29 00:07:14.206051
48,2,23,2025-09-29 00:07:14.206053
49,3,0,2025-09-29 00:07:14.206078
50,3,1,2025-09-29 00:07:14.206080
51,3,2,2025-09-29 00:07:14.206082
52,3,3,2025-09-29 00:07:14.206084
53,3,4,2025-09-29 00:07:14.206086
54,3,5,2025-09-29 00:07:14.206088
55,3,6,2025-09-29 00:07:14.206090
56,3,7,2025-09-29 00:07:14.206092
57,3,8,2025-09-29 00:07:14.206094
58,3,9,2025-09-29 00:07:14.206096
59,3,10,2025-09-29 00:07:14.206098
60,3,11,2025-09-29 00:07:14.206100
61,3,12,2025-09-29 00:07:14.206101
62,3,13,2025-09-29 00:07:14.206103
63,3,14,2025-09-29 00:07:14.206105
64,3,15,2025-09-29 00:07:14.206108
65,3,16,2025-09-29 00:07:14.206110
66,3,17,2025-09-29 00:07:14.206113
67,3,18,2025-09-29 00:07:14.206115
68,3,19,2025-09-29 00:07:14.206117
69,3,20,2025-09-29 00:07:14.206120
70,3,21,2025-09-29 00:07:14.206122
71,3,22,2025-09-29 00:07:14.206124
72,3,23,2025-09-29 00:07:14.206126
73,4,0,2025-09-29 00:07:14.206147
74,4,1,2025-09-29 00:07:14.206149
75,4,2,2025-09-29 00:07:14.206152
76,4,3,2025-09-29 00:07:14.206154
77,4,4,2025-09-29 00:07:14.206155
78,4,5,2025-09-29 00:07:14.206158
79,4,6,2025-09-29 00:07:14.206160
80,4,7,2025-09-29 00:07:14.206162
81,4,8,2025-09-29 00:07:14.206164
82,4,9,2025-09-29 00:07:14.206165
83,4,10,2025-09-29 00:07:14.206167
84,4,11,2025-09-29 00:07:14.206169
85,4,12,2025-09-29 00:07:14.206171
86,4,13,2025-09-29 00:07:14.206173
87,4,14,2025-09-29 00:07:14.206175
88,4,15,2025-09-29 00:07:14.206177
89,4,16,2025-09-29 00:07:14.206179
90,4,17,2025-09-29 00:07:14.206181
91,4,18,2025-09-29 00:07:14.206183
92,4,19,2025-09-29 00:07:14.206185
93,4,20,2025-09-29 00:07:14.206187
94,4,21,2025-09-29 00:07:14.206189
95,4,22,2025-09-29 00:07:14.206191
96,4,23,2025-09-29 00:07:14.206193
97,5,0,2025-09-29 00:07:14.206213
98,5,1,2025-09-29 00:07:14.206216
99,5,2,2025-09-29 00:07:14.206218
100,5,3,2025-09-29 00:07:14.206220
101,5,4,2025-09-29 00:07:14.206222
102,5,5,2025-09-29 00:07:14.206223
103,5,6,2025-09-29 00:07:14.206225
104,5,7,2025-09-29 00:07:14.206237
105,5,8,2025-09-29 00:07:14.206239
106,5,9,2025-09-29 00:07:14.206241
107,5,10,2025-09-29 00:07:14.206243
108,5,11,2025-09-29 00:07:14.206245
109,5,12,2025-09-29 00:07:14.206247
110,5,13,2025-09-29 00:07:14.206249
111,5,14,2025-09-29 00:07:14.206463
112,5,15,2025-09-29 00:07:14.206474
113,5,16,2025-09-29 00:07:14.206478
114,5,17,2025-09-29 00:07:14.206481
115,5,18,2025-09-29 00:07:14.206484
116,5,19,2025-09-29 00:07:14.206487
117,5,20,2025-09-29 00:07:14.206490
118,5,21,2025-09-29 00:07:14.206492
119,5,22,2025-09-29 00:07:14.206495
120,5,23,2025-09-29 00:07:14.206498
121,6,0,2025-09-29 00:07:14.206553
122,6,1,2025-09-29 00:07:14.206555
123,6,2,2025-09-29 00:07:14.206557
124,6,3,2025-09-29 00:07:14.206559
125,6,4,2025-09-29 00:07:14.206561
126,6,5,2025-09-29 00:07:14.206563
127,6,6,2025-09-29 00:07:14.206565
128,6,7,2025-09-29 00:07:14.206567
129,6,8,2025-09-29 00:07:14.206569
130,6,9,2025-09-29 00:07:14.206571
131,6,10,2025-09-29 00:07:14.206573
132,6,11,2025-09-29 00:07:14.206575
133,6,12,2025-09-29 00:07:14.206577
134,6,13,2025-09-29 00:07:14.206579
135,6,14,2025-09-29 00:07:14.206581
136,6,15,2025-09-29 00:07:14.206583
